Year,Region,Annual_Total
1983,Region1,1257.684578496
1983,Region2,1051.954080767
1983,Region3,1282.787324553
1983,Region4,1160.144236687
1983,Region5,1013.741634689
1984,Region1,1115.380222353
1984,Region2,1131.103722779
1984,Region3,1251.884178594
1984,Region4,965.010280152
1984,Region5,802.667766265
1985,Region1,1252.656831818
1985,Region2,1246.957565092
1985,Region3,1497.626012531
1985,Region4,1134.513635192
1985,Region5,994.405943976
1986,Region1,1202.0499212510001
1986,Region2,1192.113521888
1986,Region3,1323.987078737
1986,Region4,1110.08537776
1986,Region5,973.836213294
1987,Region1,1287.146238461
1987,Region2,1175.226845102
1987,Region3,1285.484869476
1987,Region4,1095.962766575
1987,Region5,1062.343416835
1988,Region1,1417.804946039
1988,Region2,1351.86078993
1988,Region3,1478.300058377
1988,Region4,1315.998589614
1988,Region5,1203.457942736
1989,Region1,1428.566356913
1989,Region2,1311.450103007
1989,Region3,1366.827616841
1989,Region4,1227.823689371
1989,Region5,1177.857115576
1990,Region1,1408.645862314
1990,Region2,1198.579867183
1990,Region3,1368.741297152
1990,Region4,1135.06603124
1990,Region5,998.131637875
1991,Region1,1330.461995755
1991,Region2,1176.949156171
1991,Region3,1244.21473779
1991,Region4,1117.934636774
1991,Region5,1044.685573268
1992,Region1,1243.524456761
1992,Region2,1102.492831468
1992,Region3,1177.520156016
1992,Region4,998.592153918
1992,Region5,952.216016055
1993,Region1,1265.053109885
1993,Region2,1182.062065448
1993,Region3,1372.649479676
1993,Region4,1152.831109764
1993,Region5,1017.740082599
1994,Region1,1404.573822514
1994,Region2,1243.687147464
1994,Region3,1248.704478212
1994,Region4,1159.0625133620001
1994,Region5,1031.2663013
1995,Region1,1295.802589065
1995,Region2,1143.063384828
1995,Region3,1166.57045678
1995,Region4,1092.298154201
1995,Region5,1024.521164177
1996,Region1,1379.192327946
1996,Region2,1293.982655763
1996,Region3,1493.63109764
1996,Region4,1305.376402153
1996,Region5,1106.209892084
1997,Region1,1396.075338299
1997,Region2,1234.298525241
1997,Region3,1343.569522679
1997,Region4,1237.71556839
1997,Region5,1151.473433734
1998,Region1,1279.409947442
1998,Region2,1078.870567413
1998,Region3,1209.108767878
1998,Region4,1077.591567893
1998,Region5,1025.644670647
1999,Region1,1383.580404858
1999,Region2,1218.3188449269999
1999,Region3,1499.134562814
1999,Region4,1132.572122901
1999,Region5,952.518186463
2000,Region1,1179.504817577
2000,Region2,1223.473371711
2000,Region3,1510.843968849
2000,Region4,1265.545113515
2000,Region5,1051.972084744
2001,Region1,1361.524981777
2001,Region2,1271.530409277
2001,Region3,1457.54565024
2001,Region4,1267.95181901
2001,Region5,1181.304637084
2002,Region1,1359.4545389740001
2002,Region2,1240.424544215
2002,Region3,1297.542809264
2002,Region4,1096.264804891
2002,Region5,1045.440865007
2003,Region1,1444.704840422
2003,Region2,1283.72435429
2003,Region3,1420.807540233
2003,Region4,1230.336261182
2003,Region5,1163.694425752
2004,Region1,1244.478281998
2004,Region2,1201.646846297
2004,Region3,1317.560205164
2004,Region4,1138.376870225
2004,Region5,1048.710806606
2005,Region1,1254.153585924
2005,Region2,1272.99405092
2005,Region3,1473.543844642
2005,Region4,1278.674625188
2005,Region5,1134.863131434
2006,Region1,1305.642400454
2006,Region2,1282.600163114
2006,Region3,1448.13650837
2006,Region4,1256.976340085
2006,Region5,1210.595210504
2007,Region1,1363.568790185
2007,Region2,1274.747990005
2007,Region3,1417.735626915
2007,Region4,1274.356033932
2007,Region5,1200.247540959
2008,Region1,1334.335109208
2008,Region2,1224.56531363
2008,Region3,1317.961156689
2008,Region4,1214.65816254
2008,Region5,1128.245827665
2009,Region1,1183.200402129
2009,Region2,1188.238281913
2009,Region3,1465.037552519
2009,Region4,1197.213824533
2009,Region5,1050.458125088
2010,Region1,1502.489445337
2010,Region2,1430.159804176
2010,Region3,1620.649285245
2010,Region4,1419.75070466
2010,Region5,1325.816697098
2011,Region1,1520.007620209
2011,Region2,1401.327284047
2011,Region3,1508.146299509
2011,Region4,1407.731231988
2011,Region5,1411.916194993
2012,Region1,1486.904332832
2012,Region2,1496.818951199
2012,Region3,1649.546541705
2012,Region4,1521.962684528
2012,Region5,1417.1966487079999
2013,Region1,1492.297020618
2013,Region2,1331.078552362
2013,Region3,1460.967584758
2013,Region4,1291.116629387
2013,Region5,1202.14362012
2014,Region1,1424.161114251
2014,Region2,1315.970031247
2014,Region3,1479.960149103
2014,Region4,1228.066579724
2014,Region5,1143.106610479
2015,Region1,1401.416047374
2015,Region2,1345.388299651
2015,Region3,1483.046381434
2015,Region4,1234.267047705
2015,Region5,1128.032194748
2016,Region1,1198.892806025
2016,Region2,1276.621252032
2016,Region3,1332.20531753
2016,Region4,1212.118409131
2016,Region5,1163.219607706
2017,Region1,1409.592409211
2017,Region2,1231.5363298299999
2017,Region3,1326.674961333
2017,Region4,1130.972548975
2017,Region5,974.573730326
2018,Region1,1422.065676936
2018,Region2,1365.754898957
2018,Region3,1553.150563554
2018,Region4,1352.663945878
2018,Region5,1387.252549908
2019,Region1,1521.289251706
2019,Region2,1417.657891484
2019,Region3,1404.920108394
2019,Region4,1241.896794151
2019,Region5,1131.748122062
