Region,Year,onset_doy,cessation_doy,season_length
Region1,1983,92,323,231
Region1,1984,95,323,228
Region1,1985,86,317,231
Region1,1986,109,310,201
Region1,1987,76,318,242
Region1,1988,104,320,216
Region1,1989,85,323,238
Region1,1990,93,318,225
Region1,1991,87,313,226
Region1,1992,92,323,231
Region1,1993,104,313,209
Region1,1994,94,320,226
Region1,1995,109,323,214
Region1,1996,76,321,245
Region1,1997,83,323,240
Region1,1998,83,323,240
Region1,1999,88,323,235
Region1,2000,98,323,225
Region1,2001,93,323,230
Region1,2002,67,321,254
Region1,2003,79,323,244
Region1,2004,93,317,224
Region1,2005,94,311,217
Region1,2006,65,323,258
Region1,2007,73,322,249
Region1,2008,84,316,232
Region1,2009,95,322,227
Region1,2010,80,323,243
Region1,2011,104,323,219
Region1,2012,105,322,217
Region1,2013,83,321,238
Region1,2014,69,323,254
Region1,2015,82,323,241
Region1,2016,90,323,233
Region1,2017,107,317,210
Region1,2018,63,323,260
Region1,2019,84,318,234
Region2,1983,88,323,235
Region2,1984,94,323,229
Region2,1985,86,317,231
Region2,1986,65,323,258
Region2,1987,75,321,246
Region2,1988,75,321,246
Region2,1989,83,323,240
Region2,1990,91,320,229
Region2,1991,70,323,253
Region2,1992,83,323,240
Region2,1993,65,321,256
Region2,1994,94,320,226
Region2,1995,69,323,254
Region2,1996,77,320,243
Region2,1997,82,323,241
Region2,1998,83,323,240
Region2,1999,71,323,252
Region2,2000,99,323,224
Region2,2001,83,323,240
Region2,2002,64,322,258
Region2,2003,80,322,242
Region2,2004,85,323,238
Region2,2005,61,323,262
Region2,2006,65,323,258
Region2,2007,73,322,249
Region2,2008,81,321,240
Region2,2009,88,323,235
Region2,2010,81,323,242
Region2,2011,94,323,229
Region2,2012,61,323,262
Region2,2013,83,323,240
Region2,2014,69,323,254
Region2,2015,63,323,260
Region2,2016,61,323,262
Region2,2017,73,318,245
Region2,2018,76,323,247
Region2,2019,63,323,260
Region3,1983,86,322,236
Region3,1984,64,323,259
Region3,1985,61,323,262
Region3,1986,84,323,239
Region3,1987,74,323,249
Region3,1988,62,321,259
Region3,1989,88,323,235
Region3,1990,65,320,255
Region3,1991,63,323,260
Region3,1992,83,323,240
Region3,1993,65,323,258
Region3,1994,71,323,252
Region3,1995,65,323,258
Region3,1996,69,321,252
Region3,1997,82,323,241
Region3,1998,61,323,262
Region3,1999,63,323,260
Region3,2000,77,322,245
Region3,2001,62,323,261
Region3,2002,63,323,260
Region3,2003,76,320,244
Region3,2004,65,323,258
Region3,2005,61,323,262
Region3,2006,65,323,258
Region3,2007,73,322,249
Region3,2008,80,323,243
Region3,2009,71,322,251
Region3,2010,63,323,260
Region3,2011,82,323,241
Region3,2012,61,323,262
Region3,2013,62,323,261
Region3,2014,61,323,262
Region3,2015,62,323,261
Region3,2016,66,323,257
Region3,2017,79,318,239
Region3,2018,63,323,260
Region3,2019,88,323,235
Region4,1983,88,322,234
Region4,1984,75,323,248
Region4,1985,80,315,235
Region4,1986,84,323,239
Region4,1987,75,321,246
Region4,1988,95,322,227
Region4,1989,96,323,227
Region4,1990,88,323,235
Region4,1991,85,323,238
Region4,1992,83,323,240
Region4,1993,65,323,258
Region4,1994,105,323,218
Region4,1995,98,323,225
Region4,1996,73,323,250
Region4,1997,82,323,241
Region4,1998,83,323,240
Region4,1999,71,323,252
Region4,2000,83,323,240
Region4,2001,93,323,230
Region4,2002,64,323,259
Region4,2003,81,317,236
Region4,2004,85,323,238
Region4,2005,61,323,262
Region4,2006,65,323,258
Region4,2007,73,322,249
Region4,2008,80,322,242
Region4,2009,88,322,234
Region4,2010,75,323,248
Region4,2011,92,323,231
Region4,2012,61,323,262
Region4,2013,68,323,255
Region4,2014,69,323,254
Region4,2015,85,322,237
Region4,2016,61,323,262
Region4,2017,79,323,244
Region4,2018,63,323,260
Region4,2019,93,323,230
Region5,1983,71,321,250
Region5,1984,75,322,247
Region5,1985,79,314,235
Region5,1986,61,323,262
Region5,1987,64,322,258
Region5,1988,62,317,255
Region5,1989,79,323,244
Region5,1990,61,322,261
Region5,1991,85,312,227
Region5,1992,83,323,240
Region5,1993,64,323,259
Region5,1994,105,323,218
Region5,1995,84,323,239
Region5,1996,71,323,252
Region5,1997,66,323,257
Region5,1998,85,322,237
Region5,1999,71,323,252
Region5,2000,105,322,217
Region5,2001,77,323,246
Region5,2002,62,323,261
Region5,2003,94,312,218
Region5,2004,66,323,257
Region5,2005,61,323,262
Region5,2006,64,323,259
Region5,2007,98,321,223
Region5,2008,69,322,253
Region5,2009,71,323,252
Region5,2010,63,323,260
Region5,2011,105,323,218
Region5,2012,61,323,262
Region5,2013,68,323,255
Region5,2014,68,323,255
Region5,2015,77,322,245
Region5,2016,66,323,257
Region5,2017,100,323,223
Region5,2018,62,323,261
Region5,2019,97,323,226
